collage,Player,id,height,weight,born,birth_city,birth_state
,Johan Petro,3097,213,112,1986,Paris,France
North Carolina State University,Josh Powell,3098,206,102,1983,Charleston,South Carolina
Utah Valley State College,Ronnie Price,3099,188,86,1983,Friendswood,Texas
Duke University,Shavlik Randolph,3100,208,108,1983,Raleigh,North Carolina
Oral Roberts University,Anthony Roberson,3101,196,83,1955,Chattanooga,Tennessee
Mississippi State University,Lawrence Roberts,3102,206,108,1982,Houston,Texas
University of Washington,Nate Robinson,3103,175,81,1984,Seattle,Washington
Oklahoma State University,Melvin Sanders,3104,196,95,1981,Liberal,Kansas
University of Oregon,Alex Scales,3105,193,83,1978,Racine,Wisconsin
Georgia Institute of Technology,Luke Schenscher,3106,216,115,1982,Hope Forest,Australia
University of Kansas,Wayne Simien,3107,206,115,1983,Leavenworth,Kansas
Murray State University,James Singleton,3108,203,97,1981,Chicago,Illinois
University of Arizona,Salim Stoudamire,3109,185,81,1982,Portland,Oregon
University of Pittsburgh,Chris Taft,3110,208,117,1985,Brooklyn,New York
University of Alabama at Birmingham,Donell Taylor,3111,198,81,1982,Washington,District of Columbia
"University of California, Los Angeles",Dijon Thompson,3112,201,88,1983,Los Angeles,California
Gonzaga University,Ronny Turiaf,3113,208,112,1983,Le Robert,Martinique
University of Connecticut,Charlie Villanueva,3114,211,105,1984,Queens,New York
Florida State University,Von Wafer,3115,196,95,1985,Homer,Louisiana
University of Florida,Matt Walsh,3116,198,92,1982,Holland,Pennsylvania
Syracuse University,Hakim Warrick,3117,206,99,1982,Philadelphia,Pennsylvania
Morgan State University,Martell Webster,3118,216,102,1952,Baltimore,Maryland
Walsh University,Robert Whaley,3119,208,117,1982,Benton Harbor,Michigan
University of Illinois at Urbana-Champaign,Deron Williams,3120,190,90,1984,Parkersburg,West Virginia
Stetson University,Lou Williams,3121,206,90,1969,Ocala,Florida
University of Alabama,Marvin Williams,3122,185,89,1982,Jackson,Mississippi
Texas A&M University,Antoine Wright,3123,201,95,1984,West Covina,California
"University of California, Los Angeles",Bracey Wright,3124,211,102,1962,Hollywood,California
Mississippi State University,Derrick Zimmerman,3125,190,88,1981,Monroe,Louisiana
University of Arizona,Hassan Adams,3126,193,99,1984,Inglewood,California
Michigan State University,Maurice Ager,3127,196,91,1984,Detroit,Michigan
University of Texas at Austin,LaMarcus Aldridge,3128,211,117,1985,Dallas,Texas
"University of Nevada, Las Vegas",Lou Amundson,3129,206,99,1982,Ventura,California
University of Connecticut,Hilton Armstrong,3130,211,106,1984,Peekskill,New York
