prize,race_id,date,venue,race_no,surface,distance,going,horse_ratings,race_class,sec_time,win_combination
1400000,997,9/13/1998,ST,9,0,2000,GOOD TO YIELDING,105-80,1,25.94,14
850000,998,9/13/1998,ST,10,0,1400,GOOD TO YIELDING,80-60,3,13.88,13
625000,999,9/18/1998,ST,1,0,1200,GOOD,60-40,4,23.77,5
485000,1000,9/18/1998,ST,2,0,1400,GOOD,40-15,5,13.62,5
625000,1022,9/27/1998,ST,5,0,1400,GOOD,60-40,4,13.78,5
850000,1023,9/27/1998,ST,6,1,1800,FAST,80-60,3,13.99,2
1150000,1025,9/27/1998,ST,8,1,1200,FAST,100-80,2,23.34,4
1150000,1026,9/27/1998,ST,9,0,1400,GOOD,100-80,2,13.59,3
850000,1027,9/27/1998,ST,10,0,1400,GOOD,80-60,3,13.75,7
850000,1089,10/21/1998,HV,8,0,1650,GOOD TO FIRM,80-60,3,27.61,1
625000,1090,10/25/1998,ST,1,0,1000,YIELDING,60-40,4,13.39,6
625000,1091,10/25/1998,ST,2,0,1400,YIELDING,60-40,4,13.72,6
850000,1092,10/25/1998,ST,3,0,1000,YIELDING,80-60,3,13.19,14
485000,1093,10/25/1998,ST,4,1,1650,WET SLOW,40-10,5,28.34,9
625000,1094,10/25/1998,ST,5,0,1800,YIELDING,60-40,4,14,11
850000,1095,10/25/1998,ST,6,1,1200,WET SLOW,80-60,3,23.56,9
1150000,1096,10/25/1998,ST,7,0,1400,YIELDING,100-80,2,13.61,7
1150000,1098,10/25/1998,ST,9,1,1650,WET SLOW,100-75,2,28.42,14
850000,1099,10/25/1998,ST,10,0,1400,YIELDING,80-60,3,13.5,12
485000,1100,10/28/1998,HV,1,0,1200,GOOD,40-10,5,24.06,7
850000,1189,12/6/1998,ST,9,0,1800,GOOD,80-60,3,13.92,13
485000,1199,12/16/1998,HV,1,0,1650,GOOD TO FIRM,40-0,5,28.89,1
625000,1200,12/16/1998,HV,2,0,1650,GOOD TO FIRM,60-40,4,27.75,2
850000,1232,12/26/1998,ST,8,0,1200,GOOD TO YIELDING,80-60,3,23.94,1
850000,1233,12/26/1998,ST,9,0,1400,GOOD TO YIELDING,80-60,3,13.42,10
1150000,1234,12/26/1998,ST,10,0,1600,GOOD TO YIELDING,100-80,2,24.12,13
850000,1242,1/3/1999,HV,8,0,1200,GOOD,80-60,3,23.94,11
1150000,1243,1/3/1999,HV,9,0,1200,GOOD,100-80,2,23.55,3
1150000,1244,1/3/1999,HV,10,0,1650,GOOD,95-75,2,27.24,6
850000,1269,1/13/1999,HV,7,0,1800,GOOD TO FIRM,80-60,3,13.91,5
850000,1270,1/13/1999,HV,8,0,1650,GOOD TO FIRM,80-60,3,27.97,11
1150000,1288,1/20/1999,ST,7,1,1200,GOOD,100-80,2,23.23,9
850000,1289,1/20/1999,ST,8,1,1650,GOOD,80-60,3,28.5,12
485000,1290,1/23/1999,ST,1,0,1400,GOOD TO YIELDING,40-0,5,13.44,1
625000,1309,1/31/1999,ST,2,1,1200,FAST,60-40,4,23.77,5
