team1,team2,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
Rajasthan Royals,Kolkata Knight Riders,126,2009,Cape Town,4/23/2009,Kolkata Knight Riders,field,tie,0,Rajasthan Royals,0,0,YK Pathan,Newlands,MR Benson,M Erasmus,
Royal Challengers Bangalore,Kings XI Punjab,127,2009,Durban,4/24/2009,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,
Deccan Chargers,Mumbai Indians,128,2009,Durban,4/25/2009,Deccan Chargers,bat,normal,0,Deccan Chargers,12,0,PP Ojha,Kingsmead,HDPK Dharmasena,SJA Taufel,
Royal Challengers Bangalore,Delhi Daredevils,129,2009,Port Elizabeth,4/26/2009,Royal Challengers Bangalore,bat,normal,0,Delhi Daredevils,0,6,TM Dilshan,St George's Park,S Asnani,BG Jerling,
Kings XI Punjab,Rajasthan Royals,130,2009,Cape Town,4/26/2009,Kings XI Punjab,bat,normal,0,Kings XI Punjab,27,0,KC Sangakkara,Newlands,M Erasmus,K Hariharan,
Chennai Super Kings,Deccan Chargers,131,2009,Durban,4/27/2009,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,HH Gibbs,Kingsmead,IL Howell,TH Wijewardene,
Mumbai Indians,Kolkata Knight Riders,132,2009,Port Elizabeth,4/27/2009,Mumbai Indians,bat,normal,0,Mumbai Indians,92,0,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin,
Delhi Daredevils,Rajasthan Royals,133,2009,Centurion,4/28/2009,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,5,YK Pathan,SuperSport Park,GAV Baxter,RE Koertzen,
Kolkata Knight Riders,Royal Challengers Bangalore,134,2009,Durban,4/29/2009,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,0,5,MV Boucher,Kingsmead,MR Benson,TH Wijewardene,
Kings XI Punjab,Mumbai Indians,135,2009,Durban,4/29/2009,Kings XI Punjab,bat,normal,0,Kings XI Punjab,3,0,KC Sangakkara,Kingsmead,MR Benson,SL Shastri,
Deccan Chargers,Delhi Daredevils,136,2009,Centurion,4/30/2009,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,DP Nannes,SuperSport Park,GAV Baxter,AM Saheba,
Chennai Super Kings,Rajasthan Royals,137,2009,Centurion,4/30/2009,Rajasthan Royals,field,normal,0,Chennai Super Kings,38,0,SK Raina,SuperSport Park,GAV Baxter,RE Koertzen,
Mumbai Indians,Kolkata Knight Riders,138,2009,East London,5/1/2009,Mumbai Indians,bat,normal,0,Mumbai Indians,9,0,JP Duminy,Buffalo Park,M Erasmus,SK Tarapore,
Royal Challengers Bangalore,Kings XI Punjab,139,2009,Durban,5/1/2009,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,8,0,Yuvraj Singh,Kingsmead,HDPK Dharmasena,S Ravi,
Deccan Chargers,Rajasthan Royals,140,2009,Port Elizabeth,5/2/2009,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,3,YK Pathan,St George's Park,S Asnani,BG Jerling,
Chennai Super Kings,Delhi Daredevils,141,2009,Johannesburg,5/2/2009,Delhi Daredevils,field,normal,0,Chennai Super Kings,18,0,SB Jakati,New Wanderers Stadium,DJ Harper,RE Koertzen,
Kolkata Knight Riders,Kings XI Punjab,142,2009,Port Elizabeth,5/3/2009,Kolkata Knight Riders,bat,normal,0,Kings XI Punjab,0,6,DPMD Jayawardene,St George's Park,S Asnani,MR Benson,
Mumbai Indians,Royal Challengers Bangalore,143,2009,Johannesburg,5/3/2009,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,9,JH Kallis,New Wanderers Stadium,RE Koertzen,TH Wijewardene,
Chennai Super Kings,Deccan Chargers,144,2009,East London,5/4/2009,Chennai Super Kings,bat,normal,0,Chennai Super Kings,78,0,MS Dhoni,Buffalo Park,BR Doctrove,M Erasmus,
Rajasthan Royals,Kings XI Punjab,145,2009,Durban,5/5/2009,Kings XI Punjab,field,normal,0,Rajasthan Royals,78,0,GC Smith,Kingsmead,SS Hazare,IL Howell,
Kolkata Knight Riders,Delhi Daredevils,146,2009,Durban,5/5/2009,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,9,G Gambhir,Kingsmead,GAV Baxter,IL Howell,
Deccan Chargers,Mumbai Indians,147,2009,Centurion,5/6/2009,Deccan Chargers,bat,normal,0,Deccan Chargers,19,0,RG Sharma,SuperSport Park,MR Benson,HDPK Dharmasena,
Royal Challengers Bangalore,Rajasthan Royals,148,2009,Centurion,5/7/2009,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,A Singh,SuperSport Park,K Hariharan,DJ Harper,
Chennai Super Kings,Kings XI Punjab,149,2009,Centurion,5/7/2009,Chennai Super Kings,bat,normal,1,Chennai Super Kings,12,0,ML Hayden,SuperSport Park,DJ Harper,TH Wijewardene,
Mumbai Indians,Delhi Daredevils,150,2009,East London,5/8/2009,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,7,A Nehra,Buffalo Park,M Erasmus,SK Tarapore,
Deccan Chargers,Kings XI Punjab,151,2009,Kimberley,5/9/2009,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,3,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter,AM Saheba,
Rajasthan Royals,Chennai Super Kings,152,2009,Kimberley,5/9/2009,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,S Badrinath,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,
Mumbai Indians,Royal Challengers Bangalore,153,2009,Port Elizabeth,5/10/2009,Mumbai Indians,bat,normal,0,Mumbai Indians,16,0,JP Duminy,St George's Park,BR Doctrove,BG Jerling,
Kolkata Knight Riders,Delhi Daredevils,154,2009,Johannesburg,5/10/2009,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,A Mishra,New Wanderers Stadium,SL Shastri,RB Tiffin,
Deccan Chargers,Rajasthan Royals,155,2009,Kimberley,5/11/2009,Deccan Chargers,bat,normal,0,Deccan Chargers,53,0,DR Smith,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,
Kolkata Knight Riders,Royal Challengers Bangalore,156,2009,Centurion,5/12/2009,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,LRPL Taylor,SuperSport Park,M Erasmus,SS Hazare,
Kings XI Punjab,Mumbai Indians,157,2009,Centurion,5/12/2009,Kings XI Punjab,bat,normal,0,Mumbai Indians,0,8,Harbhajan Singh,SuperSport Park,SS Hazare,RE Koertzen,
Delhi Daredevils,Deccan Chargers,158,2009,Durban,5/13/2009,Deccan Chargers,field,normal,0,Delhi Daredevils,12,0,R Bhatia,Kingsmead,DJ Harper,SL Shastri,
Chennai Super Kings,Royal Challengers Bangalore,159,2009,Durban,5/14/2009,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,2,LRPL Taylor,Kingsmead,BR Doctrove,DJ Harper,
Rajasthan Royals,Mumbai Indians,160,2009,Durban,5/14/2009,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,SK Warne,Kingsmead,BR Doctrove,DJ Harper,
Delhi Daredevils,Kings XI Punjab,161,2009,Bloemfontein,5/15/2009,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,6,B Lee,OUTsurance Oval,HDPK Dharmasena,IL Howell,
Mumbai Indians,Chennai Super Kings,162,2009,Port Elizabeth,5/16/2009,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,7,ML Hayden,St George's Park,SK Tarapore,SJA Taufel,
Kolkata Knight Riders,Deccan Chargers,163,2009,Johannesburg,5/16/2009,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,RG Sharma,New Wanderers Stadium,RE Koertzen,S Ravi,
Kings XI Punjab,Deccan Chargers,164,2009,Johannesburg,5/17/2009,Deccan Chargers,field,normal,0,Kings XI Punjab,1,0,Yuvraj Singh,New Wanderers Stadium,S Ravi,RB Tiffin,
Delhi Daredevils,Rajasthan Royals,165,2009,Bloemfontein,5/17/2009,Delhi Daredevils,bat,normal,0,Delhi Daredevils,14,0,AB de Villiers,OUTsurance Oval,SS Hazare,IL Howell,
Chennai Super Kings,Kolkata Knight Riders,166,2009,Centurion,5/18/2009,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,7,BJ Hodge,SuperSport Park,SJA Taufel,RB Tiffin,
Delhi Daredevils,Royal Challengers Bangalore,167,2009,Johannesburg,5/19/2009,Delhi Daredevils,bat,normal,0,Royal Challengers Bangalore,0,7,JH Kallis,New Wanderers Stadium,IL Howell,RB Tiffin,
Rajasthan Royals,Kolkata Knight Riders,168,2009,Durban,5/20/2009,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,LR Shukla,Kingsmead,BG Jerling,SJA Taufel,
Chennai Super Kings,Kings XI Punjab,169,2009,Durban,5/20/2009,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,M Muralitharan,Kingsmead,BG Jerling,SJA Taufel,
Mumbai Indians,Delhi Daredevils,170,2009,Centurion,5/21/2009,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,4,V Sehwag,SuperSport Park,IL Howell,S Ravi,
Royal Challengers Bangalore,Deccan Chargers,171,2009,Centurion,5/21/2009,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,12,0,MK Pandey,SuperSport Park,IL Howell,S Ravi,
Delhi Daredevils,Deccan Chargers,172,2009,Centurion,5/22/2009,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,AC Gilchrist,SuperSport Park,BR Doctrove,DJ Harper,
Chennai Super Kings,Royal Challengers Bangalore,173,2009,Johannesburg,5/23/2009,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,MK Pandey,New Wanderers Stadium,RE Koertzen,SJA Taufel,
Deccan Chargers,Royal Challengers Bangalore,174,2009,Johannesburg,5/24/2009,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,6,0,A Kumble,New Wanderers Stadium,RE Koertzen,SJA Taufel,
